unique_id,ds,cutoff,xLSTM,xLSTM-median,xLSTM-lo-90,xLSTM-hi-90,y
GLD,2011-05-19,2011-05-18,0.483,0.0,0.0,1.0,1
GLD,2011-05-20,2011-05-18,0.495,0.0,0.0,1.0,1
GLD,2011-05-23,2011-05-18,0.453,0.0,0.0,1.0,1
GLD,2011-05-24,2011-05-18,0.505,1.0,0.0,1.0,1
GLD,2011-05-25,2011-05-18,0.546,1.0,0.0,1.0,1
GLD,2011-05-26,2011-05-18,0.563,1.0,0.0,1.0,1
GLD,2011-05-27,2011-05-18,0.528,1.0,0.0,1.0,1
GLD,2011-05-31,2011-05-18,0.517,1.0,0.0,1.0,1
GLD,2011-06-01,2011-05-18,0.513,1.0,0.0,1.0,1
GLD,2011-06-02,2011-05-18,0.482,0.0,0.0,1.0,1
GLD,2011-06-03,2011-06-02,0.529,1.0,0.0,1.0,1
GLD,2011-06-06,2011-06-02,0.579,1.0,0.0,1.0,1
GLD,2011-06-07,2011-06-02,0.497,0.0,0.0,1.0,1
GLD,2011-06-08,2011-06-02,0.489,0.0,0.0,1.0,1
GLD,2011-06-09,2011-06-02,0.501,1.0,0.0,1.0,1
GLD,2011-06-10,2011-06-02,0.496,0.0,0.0,1.0,1
GLD,2011-06-13,2011-06-02,0.548,1.0,0.0,1.0,0
GLD,2011-06-14,2011-06-02,0.54,1.0,0.0,1.0,0
GLD,2011-06-15,2011-06-02,0.493,0.0,0.0,1.0,0
GLD,2011-06-16,2011-06-02,0.497,0.0,0.0,1.0,0
GLD,2011-06-17,2011-06-16,0.533,1.0,0.0,1.0,0
GLD,2011-06-20,2011-06-16,0.586,1.0,0.0,1.0,0
GLD,2011-06-21,2011-06-16,0.46,0.0,0.0,1.0,1
GLD,2011-06-22,2011-06-16,0.454,0.0,0.0,1.0,1
GLD,2011-06-23,2011-06-16,0.504,1.0,0.0,1.0,0
GLD,2011-06-24,2011-06-16,0.47,0.0,0.0,1.0,0
GLD,2011-06-27,2011-06-16,0.479,0.0,0.0,1.0,0
GLD,2011-06-28,2011-06-16,0.488,0.0,0.0,1.0,0
GLD,2011-06-29,2011-06-16,0.525,1.0,0.0,1.0,0
GLD,2011-06-30,2011-06-16,0.451,0.0,0.0,1.0,0
GLD,2011-07-01,2011-06-30,0.516,1.0,0.0,1.0,0
GLD,2011-07-05,2011-06-30,0.516,1.0,0.0,1.0,0
GLD,2011-07-06,2011-06-30,0.534,1.0,0.0,1.0,0
GLD,2011-07-07,2011-06-30,0.552,1.0,0.0,1.0,0
GLD,2011-07-08,2011-06-30,0.541,1.0,0.0,1.0,1
GLD,2011-07-11,2011-06-30,0.598,1.0,0.0,1.0,1
GLD,2011-07-12,2011-06-30,0.526,1.0,0.0,1.0,1
GLD,2011-07-13,2011-06-30,0.585,1.0,0.0,1.0,1
GLD,2011-07-14,2011-06-30,0.489,0.0,0.0,1.0,1
